id;eikon_deal_id;verified_deal;potential_deal_cos05;acquiror;manually_checked_acquiror;manually_checked_target;best_match_link_corrected;best_match_review_amount_corrected;full_name;full_name_cleaned;Reviews_cumsum;bucket
7766;34391320358;1;1;0;1;1;https://www.glassdoor.com/Reviews/Cybersource-Reviews-E4068.htm;111;CyberSource Corp;CyberSource;442937;1
3033;34391321859;1;1;1;1;1;https://www.glassdoor.com/Reviews/DISH-Reviews-E4501.htm;6516;DISH Network Corp;DISH Network;449453;1
7388;34391321859;1;1;0;1;1;https://www.glassdoor.com/Reviews/Blockbuster-Reviews-E2984956.htm;153;Blockbuster Inc;Blockbuster;449606;1
3250;34391323451;1;1;1;1;1;https://www.glassdoor.com/Reviews/International-Business-Machines-Corporation-Reviews-E354.htm;83203;Kenexa Corp;Kenexa;532809;1
7785;34391323451;1;1;0;1;1;https://www.glassdoor.com/Reviews/Salary-com-Reviews-E35301.htm;69;Salary.com Inc;Salary.com;532878;1
3257;34391324218;1;1;1;1;1;https://www.glassdoor.com/Reviews/Unilever-Reviews-E3513.htm;10400;Unilever PLC;Unilever;543278;2
7838;34391324218;1;1;0;1;1;https://www.glassdoor.com/Reviews/Alberto-Culver-Reviews-E21.htm;56;Alberto-Culver Co;Alberto-Culver;543334;2
2840;34391324700;1;1;1;1;1;https://www.glassdoor.com/Reviews/Exelon-Reviews-E526.htm;927;Exelon Corp;Exelon;544261;2
7473;34391324700;1;1;0;1;1;https://www.glassdoor.com/Reviews/Constellation-Reviews-E75.htm;380;Constellation Energy Group Inc;Constellation Energy Group;544641;2
3273;34391324969;1;1;1;1;1;https://www.glassdoor.com/Reviews/M-and-T-Bank-Reviews-E858.htm;1900;M&T Bank Corp;MandT Bank;546541;2
7799;34391324969;1;1;0;1;1;https://www.glassdoor.com/Reviews/Wilmington-Trust-Reviews-E2044.htm;104;Wilmington Trust Corp;Wilmington Trust;546645;2
3291;34391325098;1;1;1;1;1;https://www.glassdoor.com/Reviews/McKesson-Reviews-E434.htm;4700;McKesson Corp;McKesson;551345;2
7823;34391325098;1;1;0;1;1;https://www.glassdoor.com/Reviews/The-US-Oncology-Network-Reviews-E4197.htm;161;US Oncology Inc;US Oncology;551506;2
3547;34391325927;1;1;1;1;1;https://www.glassdoor.com/Reviews/Southern-Company-Reviews-E607.htm;758;AGL Resources Inc;AGL Resources;552264;2
7848;34391325927;1;1;0;1;1;https://www.glassdoor.com/Reviews/Nicor-Reviews-E459.htm;121;Nicor Inc;Nicor;552385;2
3280;34391326061;1;1;1;1;1;https://www.glassdoor.com/Reviews/Uni-Select-Reviews-E9362.htm;113;Uni-Select Inc;Uni-Select;552498;2
7801;34391326061;1;1;0;1;1;https://www.glassdoor.com/Reviews/FinishMaster-Reviews-E2562.htm;96;FinishMaster Inc;FinishMaster;552594;2
2822;34391326106;1;1;1;1;1;https://www.glassdoor.com/Reviews/Danaher-Reviews-E193.htm;596;Danaher Corp;Danaher;553190;2
7470;34391326106;1;1;0;1;1;https://www.glassdoor.com/Reviews/Beckman-Coulter-Diagnostics-Reviews-E87.htm;1300;Beckman Coulter Inc;Beckman Coulter;554490;2
3110;34391328588;1;1;1;1;1;https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm;221;Amb Property Corp;Amb Property;554711;2
7434;34391328588;1;1;0;1;1;https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm;221;ProLogis;ProLogis;554932;2
2821;34391328741;1;1;1;1;1;https://www.glassdoor.com/Reviews/Spectrum-Reviews-E1500006.htm;12285;Time Warner Cable Inc;Time Warner Cable;567217;2
7378;34391328741;1;1;0;1;1;https://www.glassdoor.com/Reviews/Navisite-Reviews-E3111542.htm;133;NaviSite Inc;NaviSite;567350;2
2830;34391329991;1;1;1;1;1;https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E805672.htm;693;Berkshire Hathaway Inc;Berkshire Hathaway;568043;2
7385;34391329991;1;1;0;1;1;https://www.glassdoor.com/Reviews/Lubrizol-Reviews-E416.htm;521;Lubrizol Corp;Lubrizol;568564;2
2839;34391331178;1;1;1;1;1;https://www.glassdoor.com/Reviews/CENTURYLINK-Reviews-E3144184.htm;329;CenturyLink Inc;CenturyLink;568893;2
7441;34391331178;1;1;0;1;1;https://www.glassdoor.com/Reviews/Savvis-Reviews-E11084.htm;149;SAVVIS Inc;SAVVIS;569042;2
4288;34391744090;1;1;1;1;1;https://www.glassdoor.com/Reviews/WPP-Reviews-E4035.htm;654;WPP Group PLC;WPP Group;569696;2
8736;34391744090;1;1;0;1;1;https://www.glassdoor.com/Reviews/TNS-Global-Reviews-E10248.htm;352;Taylor Nelson Sofres PLC;Taylor Nelson Sofres;570048;2
4462;34391744524;1;1;1;1;1;https://www.glassdoor.com/Reviews/Westpac-Group-Reviews-E5769.htm;2533;Westpac Banking Corp;Westpac Banking;572581;2
8584;34391744524;1;1;0;1;1;https://www.glassdoor.com/Reviews/St-George-Bank-Reviews-E12774.htm;122;St George Bank Ltd;St George Bank;572703;2
4293;34391757190;1;1;1;1;1;https://www.glassdoor.com/Reviews/Lloyds-Banking-Group-Reviews-E316191.htm;4100;Lloyds TSB Group PLC;Lloyds TSB Group;576803;2
8609;34391757190;1;1;0;1;1;https://www.glassdoor.com/Reviews/HBOS-Reviews-E6961.htm;42;HBOS PLC;HBOS;576845;2
4289;34391764790;1;1;1;1;1;https://www.glassdoor.com/Reviews/WPP-Reviews-E4035.htm;654;WPP Group PLC;WPP Group;577499;2
8641;34391764790;1;1;0;1;1;https://www.glassdoor.com/Reviews/WPP-Reviews-E4035.htm;654;WPP Group PLC;WPP Group;578153;2
3774;34391777212;1;1;1;1;1;https://www.glassdoor.com/Reviews/Suncor-Reviews-E6818.htm;792;Suncor Energy Inc;Suncor Energy;578945;2
8208;34391777212;1;1;0;1;1;https://www.glassdoor.com/Reviews/Petro-Canada-Reviews-E7009.htm;433;Petro-Canada;Petro-Canada;579378;2
3629;34391786281;1;1;1;1;1;https://www.glassdoor.com/Reviews/Thomson-Reuters-Reviews-E100303.htm;3200;Thomson Reuters Corp;Thomson Reuters;582578;2
8240;34391786281;1;1;0;1;1;https://www.glassdoor.com/Reviews/Thomson-Reuters-Reviews-E100303.htm;3200;Thomson Reuters PLC;Thomson Reuters;585778;2
3779;34391798444;1;1;1;1;1;https://www.glassdoor.com/Reviews/Toromont-Reviews-E8803.htm;118;Toromont Industries Ltd;Toromont Industries;585896;2
8228;34391798444;1;1;0;1;1;https://www.glassdoor.com/Reviews/Enerflex-Reviews-E8731.htm;145;Enerflex Systems Income Fund;Enerflex Systemsome Fund;586041;2
